"VALUES","CLASS"
1.10716287734082e-20,0
1.62795422869179e-21,0
1.1017684840972e-29,0
1.63702341240282e-21,0
1.01594634745858e-21,0
2.3733966848827e-22,0
4.07874888177344e-19,0
3.50854803241639e-38,0
1.63963754910667e-38,0
4.63905709951993e-38,0
1.38147834340228e-41,0
8.1562939502158e-41,0
1.73905074627625e-38,0
1.96342384618232e-28,0
6.87851560227558e-27,0
3.50624008936913e-28,0
6.01181216057435e-24,0
7.66237041628457e-27,0
2.15909066588916e-33,0
1.63816788580208e-33,0
2.21084614913412e-43,0
2.17521926863245e-42,0
1.65191434090354e-36,0
9.77371687964984e-40,0
3.84915837004059e-30,0
1.07806753127186e-37,0
1.49287884662175e-40,0
2.20698793613195e-55,0
2.61959704215237e-48,0
7.40470273665714e-49,0
1.38361870142776e-50,0
2.24227102843942e-52,0
9.41422131923648e-48,0
1.15518969006111e-45,0
2.84102734746979e-36,0
4.06872550466501e-41,0
7.52432115673718e-49,0
1.5525564926637e-53,0
2.49674517070794e-50,0
3.87871784375509e-46,0
4.08032629524328e-47,0
1.17875552898765e-47,0
1.3563667611778e-46,0
1.44500942964447e-57,0
2.16122012697219e-56,0
3.06159581329011e-41,0
5.07107331597435e-33,0
1.12957843131171e-40,0
1.80819676861029e-41,0
4.54744045173274e-39,0
7.22158174663029e-42,0
6.86736643299382e-42,0
3.81758026461594e-43,0
1.59758780210681e-43,0
1.61984994667172e-43,0
1.87748021329225e-43,0
2.92487264711837e-43,0
1.53875137734656e-43,0
1.42914158203855e-43,0
1.88681918179599e-43,0
4.29663902190792e-41,0
1.80741760779174e-36,0
1.37208889577973e-39,0
2.04303533978784e-43,0
2.97571041723392e-43,0
3.32838952249553e-41,0
6.1139238212695e-41,0
4.89444374531351e-41,0
3.63992623053341e-43,0
1.38265389195069e-43,0
1.38269044154968e-43,0
2.69333171661166e-43,0
1.51260723244245e-43,0
1.37569198560297e-43,0
3.00341744490531e-43,0
3.02959609393418e-44,0
6.39772090928011e-35,0
1.64482156017053e-35,0
2.73179795910757e-48,0
1.82939445240531e-46,0
7.65589517430388e-47,0
7.72179806893518e-43,0
2.96265577470351e-26,0
1.11131126570514e-31,0
5.52386542235715e-24,0
2.29051326588293e-27,0
4.64893279689475e-33,0
3.25991435868801e-35,0
8.5564874578588e-33,0
3.66149817578665e-31,0
3.65971003786532e-26,0
2.02798496933282e-27,0
1.82398499981928e-28,0
5.93709627510047e-15,0
8.29050122002544e-20,0
2.57697386973665e-23,0
